tc_true,t1,t2,dt,observations,tc_predicted,tc_days_after_t2,check_pass,RMSE,A,B,C1,C2,C,m,omega,phi,optimizer_success
2007-06-01,2004-06-16,2007-02-02,675,676,2007-08-02,181,True,0.02299443689808583,6.066463097441059,-0.0032751061757554404,0.00028561116907444223,6.646442223239673e-05,0.0002932426628626127,0.7352265843775231,6.0,0.22864019529954208,True
2007-06-01,2006-09-04,2007-03-02,125,126,2007-04-20,49,True,0.01097435051554845,5.984175325661789,-0.0011841758827523844,-9.086417443211803e-05,-0.00011609034769695118,0.00014742207101933343,0.9,13.0,-2.2349004958161123,True
2007-06-01,2006-06-26,2007-03-02,175,176,2008-07-10,496,True,0.012617016763417374,6.224502098475597,-0.005430695305106697,0.0007621106221471731,-5.0099585870294616e-05,0.000763755568813692,0.6648289487965174,6.014397679639187,-0.0656434943812947,True
2007-06-01,2006-04-12,2007-03-02,225,226,2008-07-14,500,False,0.019164959155360387,4.955635282364869,0.002825138059881847,0.0005758267551915019,-0.0005288626762233099,0.0007818389746593959,0.9,6.0,-0.7429103707346691,True
2007-06-01,2006-02-01,2007-03-02,275,276,2007-03-03,1,True,0.018436408813589322,5.94079862851389,-0.001045836467060824,-0.0002696667768344269,-0.0002267927192975232,0.00035235650704170876,0.9,6.0,-2.442340384449556,True
2007-06-01,2005-11-22,2007-03-02,325,326,2007-03-10,8,True,0.017760154758238167,5.949858426252395,-0.0015795967078892504,-0.0002918845886070215,-0.0003665893512691472,0.000468598298684731,0.8298859764783231,6.0,-2.243226159501392,True
2007-06-01,2005-09-13,2007-03-02,375,376,2007-04-22,51,True,0.018881200114037572,6.115931605358902,-0.03804922400181736,-0.0026903449128746915,0.003430933023441188,0.0043599606834890175,0.37394183394445507,7.706128579997306,2.2357938070091476,True
2007-06-01,2005-07-05,2007-03-02,425,426,2007-04-20,49,True,0.01823153900586467,6.119231181803123,-0.04056327938764549,0.00045328880512082725,0.004494878282638651,0.004517676561749906,0.36516918944447907,7.585480008798046,1.4702904931284324,True
2007-06-01,2005-04-26,2007-03-02,475,476,2007-09-30,212,True,0.021827420272982158,6.176164406062506,-0.011945547309946788,-0.0007025098285285069,0.0007645549090462252,0.001038298737418973,0.5637877396300277,8.235466564072686,2.3139276923809406,True
2007-06-01,2005-02-11,2007-03-02,525,526,2007-03-29,27,True,0.020086476186646156,6.003921394304233,-0.007813095150555659,-0.0002665174433634319,-0.0012395935957230943,0.0012679210662240336,0.5861474166126693,6.0,-1.782576203602719,True
2007-06-01,2004-12-01,2007-03-02,575,576,2007-06-04,94,True,0.02144696089413289,6.078883018963686,-0.009629722331231768,0.0008975533251068869,-0.0005589209182120095,0.0010573526205695926,0.5798692660050276,6.028118457648912,-0.5569552838866209,True
2007-06-01,2004-09-22,2007-03-02,625,626,2007-07-06,126,True,0.02223417916641886,6.068721531943861,-0.005178390930081946,0.0005094064744260145,-0.00010329208637194643,0.0005197732306441064,0.6690533934777191,6.0,-0.2000570984229547,True
2007-06-01,2004-07-14,2007-03-02,675,676,2007-08-07,158,True,0.023002455657353222,6.064141135383425,-0.002889525394195706,0.00023926324907149106,7.700915693804406e-05,0.0002513509749504757,0.7528125758614626,6.0,0.31138883463734773,True
2007-06-01,2004-05-04,2007-03-02,725,726,2007-07-30,150,True,0.022577879983283883,6.064285394025381,-0.003314832004935762,0.0002981673739584803,5.5824748350280805e-05,0.00030334829061932824,0.7330459255577296,6.0,0.18508344858300443,True
2007-06-01,2006-10-02,2007-03-30,125,126,2007-06-01,63,True,0.014034767920508298,6.28808391034115,-0.23500887495664904,-0.01017822103686647,-0.009134634256983635,0.013676173678488078,0.1,6.0,-2.41017785130996,True
2007-06-01,2006-07-24,2007-03-30,175,176,2008-07-30,488,False,0.014227189295717948,4.828153633907827,0.5210626303721747,0.061943833846969526,-0.00988661175364719,0.06272785381015616,0.1,6.0,-0.15827113947944324,True
2007-06-01,2006-05-15,2007-03-30,225,226,2008-08-02,491,False,0.016062052320238607,5.552117087756547,0.0008985957670559009,-6.787743974618043e-05,0.00041869883433874285,0.0004241651337664594,0.9,6.333767874481483,1.731513295368303,True
2007-06-01,2006-03-01,2007-03-30,275,276,2008-08-06,495,True,0.020418013328663748,6.068702549200627,-0.0006244231848441256,0.0001375317185919439,1.86934182681327e-05,0.00013879631661323368,0.9,11.902069564118872,0.13509291505945192,True
2007-06-01,2005-12-20,2007-03-30,325,326,2008-04-22,389,True,0.020382010420088123,6.1489659715584555,-0.0010076578799001071,3.548777512630955e-05,-0.00011791911773255669,0.00012314341440060886,0.9,13.0,-1.2784680712989707,True
2007-06-01,2005-10-11,2007-03-30,375,376,2008-04-24,391,True,0.0193531726354456,6.148865485696962,-0.0010038064801432785,4.082314720660685e-05,-0.00011485769254061306,0.00012189675501672016,0.9,13.0,-1.2292978893382627,True
2007-06-01,2005-08-02,2007-03-30,425,426,2007-06-08,70,True,0.0198248091147099,6.101207222098537,-0.024625774558840425,0.0011112995475281847,0.00272822948528561,0.0029458823480780984,0.42930244979146653,9.459805534539269,1.1839839083650998,True
2007-06-01,2005-05-24,2007-03-30,475,476,2008-04-18,385,True,0.020429050084694797,6.559171173663411,-0.06670497304800038,-0.0018058284103568134,-0.002445244915387216,0.0030397761338425647,0.37480228769168245,12.867885407386842,-2.2069006981367125,True
2007-06-01,2005-03-11,2007-03-30,525,526,2007-10-16,200,True,0.021446175500767103,6.148114840897164,-0.007817992622431736,-7.249718592154458e-05,-0.0007390964810409971,0.0007426435553169017,0.6170273022606968,8.557635192068192,-1.6685724788660428,True
