t1,t2,window_dt_requested,observations,window_calendar_days,tc_predicted,tc_days_after_t2,tc_search_upper_days_after_t2,tc_valid_upper_days_after_t2,positive_lppls_valid,RMSE,SSE,A,B,C1,C2,C,m,omega,phi,damping,optimizer_success
2006-08-15,2007-04-02,160,161,230.0,2007-06-17,76,76.66666666666663,46.0,False,0.01695849310610338,0.04630206863719069,5.985590266950207,-0.0009284182772172822,0.00012926948187997256,6.289031853299405e-05,0.0001437560124332127,0.9,11.725031311136288,0.4527938753627086,0.4957310962772387,True
2006-08-01,2007-04-02,170,171,244.0,2007-06-22,81,81.33333333333331,48.800000000000004,False,0.016873302147214036,0.0486851236350514,5.993648515652512,-0.000988856536199481,0.00013439642135993827,5.395777280752304e-05,0.00014482347641424142,0.9,11.624910611309936,0.38178349440223186,0.5286244028343231,True
2006-07-18,2007-04-02,180,181,258.0,2007-06-27,86,86.0,51.6,False,0.017573135184957737,0.05589552952141273,6.003394306253788,-0.0010620093839112318,0.0001278096645198143,-5.5395660356839e-05,0.00013929820361741117,0.9,11.384633614911335,-0.40898339750306256,0.6027070746198265,True
2006-07-04,2007-04-02,190,191,272.0,2007-07-01,90,90.66666666666663,54.400000000000006,False,0.017725457597849877,0.06001064278715623,6.010571996454686,-0.0011056496667761848,0.00013574912691002693,-1.0475465708414456e-05,0.0001361527114626909,0.9,11.372982452243834,-0.07701520123844996,0.6426276164000321,True
2006-06-20,2007-04-02,200,201,286.0,2007-07-01,90,95.33333333333331,57.2,False,0.018161456175835977,0.06629753657578896,6.0156435088187195,-0.0011529604398321832,-4.8037598649542496e-05,-0.00011865459394921877,0.00012800985723477904,0.9,10.994039893732001,-1.9554788064220487,0.737320304529112,True
2007-02-23,2007-04-10,30,31,46.0,2007-04-11,1,15.333333333333329,9.200000000000001,False,0.012949012715992154,0.005197984839886721,5.944879238393379,-0.0035245307215328323,0.00034887147024461425,-0.0018787527050286646,0.0019108697049781188,0.7229307056445935,6.12979833860313,-1.3871944511127359,0.21753077618390912,True
2007-02-09,2007-04-10,40,41,60.0,2007-04-30,20,20.0,12.0,False,0.012217834916670072,0.0061202950920910965,5.939307373649156,-0.0007602114653069179,0.0004771600031961978,0.000702310813073826,0.0008490713437695409,0.9,6.0,0.9740202898928706,0.13430169400109768,True
2007-01-26,2007-04-10,50,51,74.0,2007-05-04,24,24.666666666666657,14.8,False,0.010974766658666915,0.006142720663821535,5.940421417067423,-0.0007214272240553285,-0.0007776735725542434,-5.000901874569811e-05,0.0007792798517895787,0.9,6.422361157149038,-3.0773751493057353,0.12973192565631472,True
2007-01-12,2007-04-10,60,61,88.0,2007-05-09,29,29.33333333333333,17.6,False,0.011231695664529416,0.007695210237537142,5.95648439902213,-0.021499429723611022,-0.003007299382228052,-0.013327725368129512,0.013662800337508857,0.15360984762353364,6.578916329543544,-1.7927220908030457,0.036741079628434294,True
2006-12-27,2007-04-10,70,71,104.0,2007-05-14,34,34.66666666666666,20.8,False,0.010873208662999699,0.008394093330668352,5.906772154695232,0.006456643603967581,-0.0039293429358911005,0.014883732343199738,0.01539367481700998,0.1,7.296364941455244,1.8289098046566152,0.005748545308769285,True
